iter	Logloss
149	0.2168162332
150	0.2157306671
151	0.2149723964
152	0.2142282457
153	0.2129882414
154	0.2118644145
155	0.2108166111
156	0.2099332952
157	0.2090649107
158	0.2076932565
159	0.2068186233
160	0.2057412845
161	0.2050405474
162	0.2039657707
163	0.2031858074
164	0.2025248542
165	0.2014711864
166	0.2004946524
167	0.1997614334
168	0.1990840542
169	0.1979698352
170	0.1970996003
171	0.1962514991
172	0.1955738637
173	0.1947591554
174	0.1939994186
175	0.1931166862
176	0.1923241829
177	0.1915766446
178	0.190843269
179	0.1898956584
180	0.1890294943
181	0.1881326989
182	0.187318446
183	0.1866314447
184	0.1859083887
185	0.1850953031
186	0.1842266624
187	0.1835631755
188	0.182677454
189	0.1818414944
190	0.1809051286
191	0.1799765345
192	0.1793298721
193	0.1783393461
194	0.177610924
195	0.1768125847
196	0.1761431054
197	0.1753039004
198	0.1746125577
199	0.1739056288
200	0.1733129701
201	0.1725420738
202	0.1719023861
203	0.1712661857
204	0.1703683939
205	0.1697385418
206	0.1691936379
207	0.1686718215
208	0.1680173874
209	0.167552094
210	0.1669158651
211	0.1663530264
212	0.1656378988
213	0.1649757499
214	0.1645739256
215	0.1638438808
216	0.1633761107
217	0.1626892659
218	0.1620432299
219	0.1615290286
220	0.1610941673
221	0.1607014243
222	0.1600677718
223	0.1595431228
224	0.1589389773
225	0.1584295586
226	0.1578609552
227	0.1572894054
228	0.1565618088
229	0.1561624043
230	0.1554586781
231	0.1549607177
232	0.1542348435
233	0.1536632367
234	0.1531554265
235	0.1525896129
236	0.1520648074
237	0.1516479378
238	0.1512429536
239	0.1507546297
240	0.1501587683
241	0.1498249965
242	0.1492905973
243	0.1489176252
244	0.1482741797
245	0.1476567681
246	0.1472255508
247	0.1466616161
248	0.1461141928
249	0.1456106955
250	0.1449029837
251	0.1444920782
252	0.1439092266
253	0.143663321
254	0.1432818228
255	0.1427657853
256	0.1421675896
257	0.1418450768
258	0.141411639
259	0.1409203544
260	0.1404715581
261	0.1399593923
262	0.1393430624
263	0.1389940888
264	0.1386386245
265	0.1382549343
266	0.1378873427
267	0.1374868421
268	0.1371619096
269	0.1367897916
270	0.1363277008
271	0.1358641439
272	0.1354006867
273	0.1349585804
274	0.1345755164
275	0.1339914407
276	0.1335819871
277	0.1330724118
278	0.1326555138
279	0.1322092796
280	0.1318928021
281	0.1314191391
282	0.1309604075
283	0.1305058607
284	0.1300000575
285	0.1295098262
286	0.129098878
287	0.1285780722
288	0.1281702127
289	0.1277316506
290	0.1272302457
291	0.1270276824
292	0.1267268764
293	0.126272472
294	0.1259084104
295	0.1255061164
296	0.1250553985
297	0.1246501866
298	0.12438646
299	0.1240303125
300	0.1235379746
301	0.1231765178
302	0.1227841164
303	0.1224186456
304	0.1221217397
305	0.121770204
306	0.121366387
307	0.1208824329
308	0.1205019453
309	0.1201554768
310	0.1197581505
311	0.1193645961
312	0.1189951754
313	0.1186275197
314	0.11815296
315	0.1177507443
316	0.1173617164
317	0.1169859189
318	0.1167428458
319	0.1163344881
320	0.1158177959
321	0.1156833563
322	0.1153442895
323	0.1150700512
324	0.1146931008
325	0.1143101009
326	0.1138389929
327	0.1135721491
328	0.1131807156
329	0.1128976309
330	0.1124943121
331	0.1121067787
332	0.1118427675
333	0.1114854813
334	0.1111091856
335	0.1107812711
336	0.1104500329
337	0.1101526858
338	0.1098798638
339	0.1095724604
340	0.1093193737
341	0.1090030955
342	0.1086095056
343	0.1082620977
344	0.1079162555
345	0.1075689899
346	0.1073048008
347	0.1069825443
348	0.1066775322
349	0.1063261957
350	0.1060329124
351	0.1056689077
352	0.105361056
353	0.1050795157
354	0.1048633376
355	0.1044529872
356	0.104084385
357	0.1038322093
358	0.1035342715
359	0.1032102072
360	0.1030397273
361	0.1027535681
362	0.1024240807
363	0.1020957178
364	0.101886365
365	0.101654067
366	0.1013496954
367	0.101136962
368	0.1007868354
369	0.1005299412
370	0.1002104674
371	0.09998838225
372	0.09962276914
373	0.09939360263
374	0.09918711079
375	0.09894200225
376	0.09857009774
377	0.09839989534
378	0.09815741297
379	0.09781616837
380	0.09757968561
381	0.09728792532
382	0.09698120516
383	0.09676671384
384	0.09644445732
385	0.09626003522
386	0.09602848452
387	0.09570328157
388	0.09552142869
389	0.09532922062
390	0.09513458565
391	0.09485685292
392	0.09460295492
393	0.09433374832
394	0.09399747137
395	0.09370522001
396	0.09342318862
397	0.09325893601
398	0.09305817334
399	0.09283048715
400	0.09256837617
401	0.09229657187
402	0.09204386953
403	0.09172589743
404	0.09148048287
405	0.0912950288
406	0.09100681276
407	0.09066660013
408	0.09039184229
409	0.0901023879
410	0.08985774908
411	0.08954441014
412	0.08925795199
413	0.08891043734
414	0.08865332959
415	0.08840733144
416	0.08824057366
417	0.08797585786
418	0.08779635358
419	0.08752897604
420	0.08733729462
421	0.08716519199
422	0.08696461436
423	0.08674062188
424	0.08647060394
425	0.08623101818
426	0.08602149451
427	0.08573611815
428	0.0854878995
429	0.08526082537
430	0.08493101063
431	0.08469874823
432	0.08447736057
433	0.0842877573
434	0.08404074142
435	0.08373254804
436	0.08357469359
437	0.08323004708
438	0.08303546906
439	0.08281111361
440	0.08263074106
441	0.08240286272
442	0.08215661547
443	0.08187732412
444	0.08161862217
445	0.08145789246
446	0.08128902805
447	0.08106258022
448	0.08088996517
449	0.08071694445
450	0.0804706118
451	0.0803503919
452	0.08023269853
453	0.07999852878
454	0.07975359817
455	0.07954031674
456	0.07940606929
457	0.07928330151
458	0.07909064506
459	0.07889753313
460	0.07874868877
461	0.07864000548
462	0.07848643545
463	0.07825660706
464	0.07805778019
465	0.07785372236
466	0.07766434684
467	0.07747437349
468	0.07722313013
469	0.07701414735
470	0.07683180339
471	0.07668123672
472	0.0765004158
473	0.07626017528
474	0.0761067974
475	0.07588898958
476	0.07562728426
477	0.075458185
478	0.07526011965
479	0.07506776212
480	0.0749316856
481	0.07478901877
482	0.07462986903
483	0.07439418337
484	0.07426009961
485	0.07408287988
486	0.07383414881
487	0.07366037369
488	0.07352101625
489	0.07335694868
490	0.07321104363
491	0.07299491541
492	0.07279734825
493	0.0726822241
494	0.07251601433
495	0.07233472369
496	0.07212210413
497	0.07194861369
498	0.07180704288
499	0.07159338424
