iter	Logloss
0	0.684248967
1	0.6748686833
2	0.6665192789
3	0.6586772862
4	0.6510092323
5	0.6429074416
6	0.6340485758
7	0.6265968778
8	0.6194263287
9	0.6127381965
10	0.6058760686
11	0.5993211661
12	0.5925692658
13	0.5864203154
14	0.5787280638
15	0.5721524367
16	0.566621695
17	0.5612342607
18	0.5552583381
19	0.5493563752
20	0.5428441745
21	0.536584484
22	0.5311513303
23	0.5256171725
24	0.5205213632
25	0.5147382822
26	0.5094088654
27	0.5041823885
28	0.4986367866
29	0.4941636271
30	0.488517932
31	0.4844139441
32	0.4794661109
33	0.4748391393
34	0.4706426307
35	0.4662326699
36	0.4614414101
37	0.4567500727
38	0.4530706833
39	0.4478981815
40	0.4442639137
41	0.4397959638
42	0.4350992744
43	0.4309788035
44	0.4268065495
45	0.4226165885
46	0.4185359442
47	0.4151568057
48	0.4105714826
49	0.406865248
50	0.4033116867
51	0.3999129907
52	0.396604965
53	0.3938252748
54	0.3907314699
55	0.3884035936
56	0.3854934351
57	0.3816987223
58	0.3784795163
59	0.3752772203
60	0.3724000276
61	0.3699222679
62	0.3676659598
63	0.3644826804
64	0.3615048537
65	0.358749532
66	0.3559524195
67	0.3532683529
68	0.3504157849
69	0.3474747387
70	0.3448664822
71	0.3421941729
72	0.3396542108
73	0.3372569013
74	0.3345922214
75	0.3317887605
76	0.3289107707
77	0.3265048354
78	0.3240263925
79	0.3215139588
80	0.3192342787
81	0.3171129369
82	0.3147757231
83	0.3128910349
84	0.3111388932
85	0.3092391455
86	0.3074597031
87	0.3053488945
88	0.3030459276
89	0.301459896
90	0.2997706968
91	0.2978539538
92	0.296251781
93	0.2939496112
94	0.2921530595
95	0.290195579
96	0.2885202436
97	0.2866131227
98	0.2849131342
99	0.2832923718
100	0.2814064026
101	0.2793015722
102	0.2773775414
103	0.2758036941
104	0.274241604
105	0.2727067862
106	0.2714034977
107	0.269926669
108	0.2685128397
109	0.2671204752
110	0.265437966
111	0.2643334688
112	0.2628069636
113	0.2613683957
114	0.2601519343
115	0.2584947899
116	0.2569760565
117	0.2554691941
118	0.2543227352
119	0.2527450448
120	0.2510313632
121	0.2498581445
122	0.2484560155
123	0.2470762338
124	0.2460235482
125	0.2446954357
126	0.2434539795
127	0.2424043684
128	0.240961331
129	0.2392691997
130	0.2379461118
131	0.236759442
132	0.2358381072
133	0.2347683693
134	0.2335176468
135	0.2323187643
136	0.2308474726
137	0.2296752076
138	0.2284565541
139	0.2276491194
140	0.2265083398
141	0.2254151871
142	0.2244731134
143	0.2235077246
144	0.2225040037
145	0.2212768384
146	0.2200422287
147	0.2187927303
148	0.2176616726
