iter	Passed	Remaining
408	2613	581
409	2619	575
410	2624	568
411	2630	561
412	2635	555
413	2641	548
414	2647	542
415	2653	535
416	2659	529
417	2665	522
418	2670	516
419	2676	509
420	2681	503
421	2687	496
422	2692	490
423	2698	483
424	2703	477
425	2709	470
426	2714	464
427	2720	457
428	2725	451
429	2731	444
430	2737	438
431	2742	431
432	2748	425
433	2753	418
434	2759	412
435	2765	405
436	2770	399
437	2776	393
438	2782	386
439	2785	379
440	2790	373
441	2796	366
442	2801	360
443	2807	354
444	2813	347
445	2818	341
446	2823	334
447	2829	328
448	2834	321
449	2840	315
450	2845	309
451	2851	302
452	2856	296
453	2862	290
454	2867	283
455	2873	277
456	2879	270
457	2884	264
458	2890	258
459	2895	251
460	2901	245
461	2906	239
462	2912	232
463	2918	226
464	2923	220
465	2928	213
466	2934	207
467	2940	201
468	2945	194
469	2951	188
470	2956	182
471	2962	175
472	2968	169
473	2974	163
474	2979	156
475	2985	150
476	2990	144
477	2996	137
478	3002	131
479	3007	125
480	3013	119
481	3018	112
482	3024	106
483	3029	100
484	3034	93
485	3040	87
486	3045	81
487	3051	75
488	3057	68
489	3064	62
490	3070	56
491	3076	50
492	3082	43
493	3087	37
494	3093	31
495	3099	24
496	3105	18
497	3111	12
498	3117	6
499	3122	0
87	6537	160
488	6544	147
489	6551	133
490	6558	120
491	6566	106
492	6573	93
493	6580	79
494	6586	66
495	6596	53
496	6602	39
497	6609	26
498	6616	13
499	6623	0
